,gap,true_gap
icsd-671517,10.539173,11.7
icsd-14285,2.5898805,1.36
icsd-104794,-0.005873382,0.0
icsd-76361,-0.005873382,0.0
icsd-61217,-0.005873382,0.0
icsd-419255,3.60681,3.7
icsd-50703,1.6119151,3.84
icsd-2481,2.0130029,1.64
icsd-44565,-0.005873382,0.0
icsd-618873,-0.005873382,0.0
icsd-53883,-0.005873382,0.0
icsd-104368,-0.005873382,0.0
icsd-620025,2.198855,2.3600000000000003
icsd-648023,1.367836,1.4
icsd-184000,1.9538879,2.06
icsd-30360,0.20109251,0.72
icsd-261181,3.9888864,2.87
icsd-241471,0.9781839,1.87
icsd-260060,2.1547089,1.63
icsd-247698,1.2285403,0.7649999999999999
icsd-8263,4.7450485,5.1
icsd-623653,-0.005873382,0.0
icsd-1581,-0.005873382,0.0
icsd-100780,2.0737953,1.83
icsd-150532,-0.005873382,0.0
icsd-619154,0.59020615,0.6
icsd-280644,2.7439065,2.19
icsd-187019,4.020814,3.67
icsd-612031,-0.005873382,0.0
icsd-646590,-0.005873382,0.0
icsd-248943,1.3866155,1.35
icsd-607671,-0.005873382,0.0
icsd-261178,3.6313586,2.47
icsd-380397,-0.005873382,0.46
icsd-2331,0.7908156,1.39
icsd-105979,-0.005873382,0.0
icsd-26844,3.6371632,3.0
icsd-10500,1.0118012,0.46
icsd-409587,-0.005873382,0.0
icsd-81655,3.4756193,2.75
icsd-58451,-0.005873382,0.0
icsd-604448,1.5561388,1.3199999999999998
icsd-419898,-0.005873382,0.0
icsd-634476,-0.005873382,0.0
icsd-427493,-0.005873382,0.0
icsd-615666,-0.005873382,0.0
icsd-415349,-0.0058733523,0.0
icsd-429278,2.2851057,2.4
icsd-670069,-0.005873382,0.0
icsd-659611,-0.005873382,0.9
icsd-108795,-0.005873382,0.0
icsd-236487,1.4383911,0.7
icsd-621681,-0.005873382,0.0
icsd-251548,4.241634,3.9
icsd-156413,2.4542766,3.61
icsd-41445,0.112032786,0.2206315789473684
icsd-253317,-0.005873382,0.297
icsd-15344,1.2960076,0.8
icsd-153292,-0.005873382,0.0
icsd-159365,0.7200053,0.0
icsd-427691,2.2124422,2.04
icsd-44238,-0.005873382,0.0
icsd-41263,-0.005873382,0.0
icsd-81414,1.8772585,1.82
icsd-54474,-0.005873382,0.0
icsd-58050,-0.005873382,0.0
icsd-95009,-0.005873382,0.0
icsd-158980,-0.005873382,0.0
icsd-633086,0.83394665,0.25
icsd-28898,0.18540919,3.6
icsd-54859,2.0066876,1.64
icsd-420302,2.5817537,1.55
icsd-171221,1.74817,1.4
icsd-612474,-0.005873382,0.0
icsd-291337,-0.005873382,0.0
icsd-629739,-0.005873382,0.0
icsd-93759,3.0393386,2.54
icsd-100079,1.8041705,1.18
icsd-43512,0.26711228,0.3
icsd-44052,-0.0058733523,0.0
icsd-619872,3.0890408,3.42
icsd-106292,-0.005873382,0.0
icsd-44914,0.3966341,1.3
icsd-603067,-0.005873382,0.0
icsd-106192,-0.005873382,0.0
icsd-59564,-0.005873382,0.0
icsd-261183,3.3603058,3.16
icsd-152354,-0.005873382,0.0
icsd-409951,-0.005873382,0.0
icsd-74978,-0.005873382,0.0
icsd-427796,3.0893636,3.42
icsd-640070,-0.005873382,0.0
icsd-71947,2.0381026,1.48
icsd-69791,-0.005873382,0.0
icsd-58283,-0.005873382,0.0
icsd-249646,4.03892,3.78
icsd-602551,-0.005873382,0.0
icsd-183656,3.06182,2.65
icsd-61516,7.3079586,6.99
icsd-58774,-0.005873382,0.0
icsd-405208,-0.005873382,0.0
icsd-611829,-0.005873382,0.0
icsd-656156,1.0662565,1.39
icsd-2857,1.6970125,0.85
icsd-104820,-0.005873382,0.0
icsd-261384,2.6457353,2.23
icsd-41256,-0.005873382,0.0
icsd-247911,-0.005873382,0.0
icsd-655775,2.6335258,2.4163333333333337
icsd-59562,-0.005873382,0.0
icsd-416574,2.0258698,1.53
icsd-420643,4.3812337,5.39
icsd-410754,2.9373636,1.55
icsd-417039,1.3499041,1.915
icsd-41832,-0.005873382,0.0
icsd-609406,-0.005873382,0.0
icsd-670669,-0.005873382,2.6
icsd-61353,0.33826905,0.0
icsd-649260,3.2865777,2.64
icsd-50162,-0.005873382,0.0
icsd-672088,3.3192616,2.0
icsd-188521,-0.005873382,0.0
icsd-96343,2.1150331,3.12
icsd-81656,3.399448,2.92
icsd-186541,-0.005873382,0.0
icsd-427057,2.5740027,2.81
icsd-151207,-0.005873382,0.0
icsd-63616,-0.005873382,0.0
icsd-79123,2.5016794,3.25
icsd-243618,4.1869802,2.46
icsd-81433,2.1548405,2.2433333333333336
icsd-57594,-0.005873382,0.0
icsd-23244,0.8410844,3.0
icsd-417911,-0.005873382,0.0
icsd-146,2.8992338,1.95
icsd-87415,0.96173996,0.2557142857142857
icsd-246813,-0.005873382,0.0
icsd-31654,-0.005873382,2.22
icsd-63594,-0.005873382,0.0
icsd-106817,-0.005873382,0.0
icsd-241838,3.4874988,3.48
icsd-601370,-0.005873382,0.0
icsd-238499,4.135654,5.2
icsd-649465,-0.0058733523,0.0
icsd-645758,-0.005873382,0.0
icsd-426706,2.6299667,2.18
icsd-420015,1.988154,2.1
icsd-248036,2.6533265,2.2
icsd-102195,-0.005873382,0.0
icsd-84636,3.7808466,3.52
icsd-108,1.8952619,1.1
icsd-43638,-0.005873382,1.0
icsd-656759,-0.005873382,0.0
icsd-58739,-0.005873382,0.0
icsd-182659,0.12869187,0.0
icsd-105398,-0.005873382,0.0
icsd-73956,1.5005013,2.45
icsd-391107,-0.005873382,0.0
icsd-249620,2.0738325,1.56
icsd-107314,-0.005873382,0.0
icsd-242276,5.2691803,4.9
icsd-253442,3.7650156,2.6
icsd-611405,1.1246319,0.88
icsd-411823,-0.005873382,0.0
icsd-39898,-0.005873382,0.0
icsd-192066,-0.005873382,0.0
icsd-425889,4.8755717,2.34
icsd-262005,8.512593,6.89
icsd-202429,2.050757,4.2
icsd-1964,1.9286829,2.095
icsd-646183,-0.005873382,0.0
icsd-82145,2.2033033,2.3
icsd-159134,-0.005873382,0.0
icsd-73352,1.2881715,0.9159999999999999
icsd-197377,-0.0058733523,0.0
icsd-238088,4.4990325,5.69
icsd-76056,-0.005873382,0.0
icsd-42988,-0.005873382,0.0
icsd-246630,-0.005873382,0.0
icsd-619796,-0.005873382,0.0
icsd-239113,2.1269596,2.85
icsd-169802,-0.005873382,0.0
icsd-253643,3.0112414,1.76
icsd-410992,-0.005873382,0.0
icsd-92130,0.5155712,4.0
icsd-671869,2.4887338,1.6
icsd-42740,-0.005873382,1.165
icsd-615469,4.0775223,3.5
icsd-245624,2.949153,2.3
icsd-425492,0.59774554,0.645
icsd-164961,2.4823823,2.932183333333333
icsd-53726,-0.005873382,0.0
icsd-194191,2.924253,2.16
icsd-155112,3.2682624,2.6
icsd-155555,6.537023,4.85
icsd-413319,1.8854314,1.41
icsd-415893,1.6517549,1.4
icsd-280846,2.6437492,2.035
icsd-62027,-0.005873382,0.0
icsd-168700,1.7898649,1.65
icsd-622703,-0.005873382,0.0
icsd-621725,-0.005873382,0.0
icsd-189036,-0.005873382,0.0
icsd-672227,-0.005873382,0.0
icsd-44442,-0.005873382,0.0
icsd-42943,-0.005873382,0.0
icsd-408195,-0.0058733523,0.55
icsd-26766,0.6031837,0.5
icsd-77933,0.72529304,0.66
icsd-52476,-0.005873382,0.0
icsd-95667,0.640633,3.3
icsd-186645,-0.005873382,0.0
icsd-174520,3.12422,1.97
icsd-262681,2.201991,1.86
icsd-422200,3.7768226,4.06
icsd-601264,2.6479702,2.07
icsd-68638,1.5570726,1.625
icsd-611729,-0.005873382,0.0
icsd-28900,4.872329,4.7799999999999985
icsd-197584,-0.005873382,0.0
icsd-620520,1.0122927,1.5494374999999998
icsd-4074,2.493307,2.56
icsd-165226,1.4033886,0.375
icsd-23649,1.6956147,1.38
icsd-102247,-0.005873382,0.0
icsd-53098,0.30992338,0.0
icsd-611603,1.2562788,1.0266666666666666
icsd-171243,-0.005873382,0.0
icsd-108130,-0.005873382,0.0
icsd-195134,2.9181957,2.47
icsd-607405,-0.005873382,0.0
icsd-658118,-0.005873382,0.0
icsd-658101,-0.005873382,0.0
icsd-2345,-0.005873382,0.4300000000000001
icsd-425554,2.3658633,3.2
icsd-53335,1.4191896,3.0
icsd-402422,2.4027677,2.82
icsd-34234,1.9885514,1.61
icsd-410403,-0.0058733523,0.0
icsd-50556,0.8606666,0.9916666666666668
icsd-152947,-0.005873382,0.0
icsd-57363,-0.005873382,0.0
icsd-71183,-0.005873382,0.0
icsd-672175,0.6752497,0.2399166666666667
icsd-68458,-0.005873382,0.0
icsd-35361,1.5092834,2.12
icsd-162142,-0.005873382,0.0
icsd-53745,-0.005873382,0.0
icsd-428852,1.3476304,0.43
icsd-183101,3.0870485,3.255
icsd-10472,2.9746785,2.3
icsd-262642,3.7582092,3.61
icsd-631640,-0.005873382,1.6
icsd-97949,-0.005873382,0.0
icsd-50960,2.4030352,2.25
icsd-44546,-0.005873382,0.0
icsd-248944,1.5324335,1.36
icsd-63640,-0.005873382,2.9
icsd-151871,1.0527306,0.47
icsd-609228,0.29538736,0.0
icsd-647528,2.110321,3.4
icsd-412726,-0.005873382,0.0
icsd-611521,-0.005873382,1.18
icsd-102180,-0.005873382,0.0
icsd-625852,-0.005873382,0.0
icsd-93086,4.754246,5.6
icsd-42486,-0.005873382,0.0
icsd-42443,2.9247203,2.696
icsd-616637,-0.005873382,0.0
icsd-672072,4.612757,4.42
icsd-99796,1.8383523,1.709
icsd-60327,2.6177077,2.5347777777777774
icsd-85795,-0.005873382,0.0
icsd-428734,2.0504184,2.13
icsd-601802,-0.005873382,0.0
icsd-412790,1.1689155,1.375
icsd-627027,-0.005873382,0.0
icsd-38105,2.248162,1.5
icsd-607817,-0.005873382,0.0
icsd-74193,4.183176,3.05
icsd-78791,2.2583675,1.9315714285714287
icsd-66761,-0.005873382,0.0
icsd-653090,-0.005873382,0.0
icsd-53083,-0.005873382,0.0
icsd-619572,4.6508474,4.9350000000000005
icsd-190954,2.0139198,1.8633333333333333
icsd-197373,-0.005873382,0.0
icsd-35331,1.6600263,2.14
icsd-9305,4.6576304,0.0
icsd-76982,-0.005873382,0.0
icsd-193778,1.9325565,1.92
icsd-152339,-0.005873382,0.0
icsd-415986,3.4385037,3.3
icsd-639230,-0.005873382,0.0
icsd-171373,1.876475,1.93
icsd-202324,0.06554201,3.6625
icsd-44175,-0.005873382,0.0
icsd-616437,-0.005873382,0.0
icsd-243496,4.402476,4.83
icsd-648992,-0.005873382,0.0
icsd-81542,-0.005873382,0.0
icsd-43203,-0.005873382,0.0
icsd-73169,-0.0058733523,0.0
icsd-109353,-0.0058733523,0.0
icsd-61755,-0.005873382,0.0
icsd-50081,-0.005873382,0.0
icsd-194795,4.302643,4.39
icsd-183371,-0.005873382,0.0
icsd-82143,2.5177393,2.2
icsd-260114,5.241883,5.38
icsd-630195,-0.005873382,0.0
icsd-102433,-0.005873382,0.0
icsd-54698,3.1562624,3.4410000000000003
icsd-106348,-0.005873382,0.0
icsd-54682,-0.005873382,0.0
icsd-85680,2.6337476,2.2
icsd-412838,-0.005873382,0.0
icsd-22221,0.50422823,0.51
icsd-59487,-0.005873382,0.0
icsd-411457,-0.005873382,0.0
icsd-670078,1.8028866,0.0
icsd-25573,2.2885065,1.91
icsd-108250,-0.005873382,0.0
icsd-430311,2.410977,2.35
icsd-190792,-0.005873382,0.0
icsd-290387,-0.005873382,0.0
icsd-103340,-0.005873382,0.0
icsd-90082,-0.005873382,0.0
icsd-411666,4.2968025,2.76
icsd-246615,-0.005873382,0.0
icsd-89499,3.2481737,1.12
icsd-430240,4.286379,4.64
icsd-185971,2.3904548,2.924
icsd-412397,-0.005873382,0.0
icsd-414233,-0.0058733523,0.0
icsd-102295,-0.0058733523,0.0
icsd-612562,2.3067102,1.64
icsd-601730,-0.005873382,0.67
icsd-23760,1.7193302,1.67
icsd-33785,1.751778,2.55
icsd-627794,2.2486887,2.1
icsd-16500,1.8175502,2.1035
icsd-54901,2.714964,1.8
icsd-193009,-0.005873382,0.0
icsd-672470,-0.005873382,0.0
icsd-66959,-0.005873382,0.0
icsd-14164,-0.005873382,0.0
icsd-105603,-0.005873382,0.0
icsd-107883,0.44202822,0.0
icsd-637713,-0.005873382,0.0
icsd-60769,-0.0058732927,0.0
icsd-650713,0.009528518,0.25
icsd-415875,2.975737,3.37
icsd-671959,0.6428023,3.3
icsd-20773,1.8762363,1.7
icsd-105943,-0.005873382,0.0
icsd-90117,1.9727651,2.0
icsd-35336,0.2484748,1.935
icsd-670755,-0.005873382,2.3
icsd-641620,-0.005873382,0.0
icsd-420783,3.0964246,2.65
icsd-253339,3.8586197,3.1
icsd-79025,3.0445337,8.0
icsd-20700,-0.005873382,0.0
icsd-187453,1.281807,2.288333333333333
icsd-281194,1.6737626,1.68
icsd-636380,0.42135897,0.0
icsd-671518,9.11755,9.33
icsd-16728,0.09624556,0.95
icsd-197309,-0.005274296,0.0
icsd-262209,4.1276093,2.66
icsd-58427,0.36448008,2.3
icsd-428795,-0.005873382,0.0
icsd-68074,-0.005873382,0.0
icsd-670182,0.9545425,1.07
icsd-414235,-0.005873382,0.0
icsd-58157,-0.005873382,0.0
icsd-247413,-0.005873382,0.0
icsd-427123,-0.005873382,0.0
icsd-623812,-0.005873382,0.0
icsd-657544,-0.005873382,0.0
icsd-170188,2.1731772,2.13
icsd-44192,-0.005873382,0.0
icsd-195334,2.0927682,1.4
icsd-638847,4.063577,2.9
icsd-73324,2.3312783,2.14
icsd-414434,-0.005873382,0.0
icsd-156887,-0.005873382,0.0
icsd-20689,2.8673105,2.3
icsd-262885,2.5322804,1.87
icsd-55116,2.335906,4.5
icsd-423016,1.3850743,1.38
icsd-10466,-0.005873382,0.0
icsd-671801,-0.005873382,0.0
icsd-79215,-0.005873382,0.65
icsd-28864,8.200715,6.0
icsd-412806,-0.005873382,0.0
icsd-606267,-0.005873382,0.0
icsd-15931,1.985853,2.0125
icsd-43856,-0.0058733523,0.0
icsd-104541,-0.005873382,0.0
icsd-252839,-0.005873382,0.0
icsd-65441,3.2888923,3.3800000000000003
icsd-413597,1.7231284,1.53
icsd-62736,8.43594,10.39
icsd-103026,-0.005873382,0.0
icsd-54480,-0.005873382,0.0
icsd-107692,-0.005873382,0.0
icsd-72107,4.4366593,4.0
icsd-643685,-0.005873382,0.0
icsd-190345,4.6080213,2.8
icsd-57504,-0.005873382,0.0
icsd-89502,2.9038386,0.0
icsd-237793,2.7192736,2.0
icsd-183317,-0.005873382,0.0
icsd-237794,2.6496606,2.0
icsd-74446,4.1334815,1.3650000000000002
icsd-186421,-0.005873382,0.0
icsd-157388,-0.005873382,0.0
icsd-260989,-0.005873382,0.0
icsd-422057,4.268713,4.25
icsd-419876,5.5926013,0.0
icsd-77393,-0.005873382,0.0
icsd-51978,-0.005873382,0.0
icsd-656996,-0.005873382,1.02
icsd-239095,4.333698,3.56
icsd-671780,-0.005873382,0.0
icsd-418015,-0.005873382,0.0
icsd-86028,-0.005873382,0.0
icsd-425890,5.299414,2.66
icsd-79376,1.9330877,0.0
icsd-672359,0.6140169,0.0
icsd-616863,-0.005873382,0.0
icsd-76681,-0.005873382,0.0
icsd-639438,1.8187284,1.856666666666667
icsd-75532,-0.005873382,0.0
icsd-614215,-0.005873382,0.0
icsd-261782,-0.005873382,0.0
icsd-41711,2.7305408,1.98
icsd-250750,3.212133,3.64
icsd-31982,-0.005873382,0.0
icsd-420017,2.530828,1.9
icsd-649155,-0.005873382,0.0
icsd-640950,-0.005873382,0.9
icsd-183654,2.5251226,2.32
icsd-74817,-0.005873382,0.0
icsd-31284,-0.005873382,9.9
icsd-6031,3.7092328,0.0
icsd-44826,-0.005873382,0.0
icsd-426333,2.9349656,3.22
icsd-106663,-0.005873382,0.0
icsd-60856,0.2222023,0.0
icsd-104557,-0.005873382,0.0
icsd-83905,-0.005873382,0.0
icsd-638924,-0.005873382,0.0
icsd-670131,-0.005873382,3.5
icsd-105817,-0.005873382,0.0
icsd-626847,-0.005873382,0.0
icsd-237150,-0.005873382,0.0
icsd-629735,2.94037,2.81
icsd-182267,2.242351,1.31
icsd-202767,3.46028,3.42
icsd-105929,0.4542503,0.0
icsd-94647,1.992492,1.923333333333333
icsd-243727,2.1622295,1.94
icsd-106784,-0.005873382,0.0
icsd-53944,4.3140965,4.0
icsd-237340,1.3451713,2.8
icsd-649147,-0.005873382,0.0
icsd-77377,5.831255,0.0
icsd-76802,-0.005873382,0.0
icsd-62764,-0.005873382,0.0
icsd-430578,0.76968557,2.1
icsd-237764,4.209519,7.3
icsd-615181,4.466097,4.9
icsd-49577,0.9255862,0.0
icsd-261681,3.0489907,2.55
icsd-81657,2.7714868,2.37
icsd-658826,-0.005873382,0.0
icsd-670046,1.2489722,3.6
icsd-191648,-0.005873382,0.0
icsd-631721,2.6270227,1.9
icsd-106806,-0.005873382,0.0
icsd-160908,-0.005873382,0.0
icsd-252048,2.1715124,1.9
icsd-52607,-0.005873382,0.0
icsd-411824,-0.005873382,0.0
icsd-25647,1.919017,1.955
icsd-418257,0.65155303,0.8
icsd-167769,-0.005873382,0.0
icsd-408696,-0.005873382,0.0
icsd-181895,1.7300247,0.0
icsd-52369,1.1908978,5.15
icsd-637511,2.201832,2.16
icsd-650917,0.85779524,2.3
icsd-85679,3.186562,2.63
icsd-155802,-0.005873382,0.0
icsd-103955,-0.005873382,0.0
icsd-241837,3.6579447,3.46
icsd-154103,2.8070607,0.9
icsd-248221,2.9330683,2.34
icsd-424284,3.4709659,2.54
icsd-262208,3.8363543,2.13
icsd-606899,-0.005873382,0.0
icsd-73252,-0.005873382,0.0
icsd-602675,-0.005873382,0.0
icsd-603783,-0.005873382,0.0
icsd-413600,1.96942,1.45
icsd-406,-0.005873382,0.0
icsd-84305,2.3350263,2.19
icsd-410401,-0.005873382,0.0
icsd-93761,2.1046648,2.376666666666667
icsd-414072,-0.005873382,0.0
icsd-427986,3.3783731,2.37
icsd-249964,0.47458947,1.0
icsd-633642,-0.005873382,0.0
icsd-30732,-0.005873382,0.0
icsd-100001,-0.005873382,1.459
icsd-262884,2.5390248,2.27
icsd-651158,0.30621642,0.0
icsd-60822,-0.005873382,0.0
icsd-418475,-0.005873382,0.79
icsd-646013,0.5188042,1.6
icsd-249342,-0.005873382,0.0
icsd-640507,1.3273562,1.254725
icsd-74546,2.552658,2.2
icsd-200263,1.7523686,2.063333333333333
icsd-183373,5.540934,4.17
icsd-423705,5.191939,3.2
icsd-66841,1.9927838,1.83
icsd-635414,2.3762822,1.8
icsd-20554,-0.005873382,0.0
icsd-629080,0.4780063,2.1
icsd-602078,-0.005873382,0.0
icsd-604698,3.1462402,3.13
icsd-173575,-0.005873382,0.0
icsd-74020,2.5493865,2.08
icsd-415195,-0.005873382,0.0
icsd-25323,-0.005873382,0.0
icsd-424353,5.038437,4.78
icsd-416515,-0.005873382,0.0
icsd-58907,0.27897123,0.0
icsd-196952,-0.005873382,0.0
icsd-24280,-0.005873382,0.0
icsd-108208,-0.005873382,0.0
icsd-191760,1.0410914,0.0
icsd-97341,-0.005873382,0.0
icsd-87915,-0.005873382,0.0
icsd-86728,-0.005873382,0.0
icsd-416379,-0.005873382,0.0
icsd-601828,-0.005873382,0.0
icsd-84182,1.8757942,1.465
icsd-237339,2.5957217,3.03
icsd-99253,-0.005873382,0.0
icsd-651107,1.5707392,2.4400000000000004
icsd-86690,-0.005873382,0.0
icsd-15129,-0.005873382,0.0
icsd-650611,1.8794701,1.0
icsd-657419,-0.0058733523,0.0
icsd-252702,4.251212,3.59
icsd-159229,-0.005873382,0.0
icsd-243763,3.9955359,2.48
icsd-412621,1.7807877,2.0
icsd-103211,-0.005873382,0.0
icsd-419880,-0.005873382,0.0
icsd-261399,2.2816958,2.43
icsd-100464,3.9653249,3.0569999999999995
icsd-160911,-0.005873382,0.0
icsd-160707,-0.005873382,0.0
icsd-8249,1.2082181,1.6700769230769232
icsd-58348,-0.005873382,0.0
icsd-424288,3.3045444,3.79
icsd-649208,-0.005873382,0.0
icsd-173844,0.878781,2.1
icsd-42318,10.013434,3.8
icsd-636520,-0.005873382,0.0
icsd-41792,-0.005873382,0.0
icsd-193784,2.2705688,2.04
icsd-76099,-0.005873382,0.0
icsd-51948,-0.005873382,0.0
icsd-290795,-0.005873382,0.0
icsd-648313,-0.005873382,0.0
icsd-58771,-0.005873382,0.55
icsd-51499,-0.005873382,0.18
icsd-195596,-0.005873382,3.2
icsd-155557,5.5495667,6.15
icsd-80292,1.2543666,0.365
icsd-410178,1.9311888,1.745
icsd-671431,-0.005873382,0.2
icsd-39509,-0.005873382,0.0
icsd-637675,-0.0058733523,0.0
icsd-641885,1.7252069,2.01
icsd-20442,-0.005873382,0.0
icsd-427410,-0.005873382,0.29
icsd-15317,1.9636981,0.8449999999999999
icsd-30769,-0.005873382,0.0
icsd-27464,0.35214397,1.0
icsd-631668,1.5142506,1.8
icsd-57641,-0.005873382,0.0
icsd-160141,2.826806,0.0
icsd-163465,3.9122505,3.3760000000000003
icsd-55617,-0.005873382,0.0
icsd-78780,1.915178,2.3
icsd-108583,-0.005873382,0.0
icsd-625221,-0.005873382,0.0
icsd-281433,2.7890291,2.56
icsd-418010,1.0653951,0.0
icsd-28748,2.068263,1.6738333333333333
icsd-29336,-0.005873382,0.0
icsd-291003,-0.005873382,0.0
icsd-183544,-0.005873382,0.0
icsd-23490,1.6414196,0.0
icsd-103359,-0.005873382,0.0
icsd-185961,-0.005873382,0.0
icsd-429950,2.6271572,2.13
icsd-58797,0.25016603,0.7
icsd-188397,-0.005873382,0.0
icsd-261756,4.9561977,3.47
icsd-74021,2.2133884,1.44
icsd-96247,-0.005873382,0.0
icsd-54951,-0.005873382,0.0
icsd-30770,-0.005873382,0.0
icsd-239153,3.230143,2.9
icsd-416955,1.1097193,0.0
icsd-103452,-0.005873382,0.0
icsd-260113,5.6435018,5.76
icsd-104573,-0.005873382,0.0
icsd-627486,2.924962,2.4428571428571426
icsd-22091,1.0988703,0.0
icsd-174090,0.30745605,1.5324000000000002
icsd-652029,-0.005873382,0.37
icsd-241839,2.9394727,3.53
icsd-420853,1.6212789,3.06
icsd-291598,2.733235,2.77
icsd-262682,1.9899409,1.78
icsd-77352,-0.005873382,0.0
icsd-611384,-0.005873382,0.0
icsd-58794,-0.005873382,0.0
icsd-637451,-0.005873382,0.0
icsd-651757,-0.005873382,0.0
icsd-344,-0.0055762827,0.0
icsd-196934,-0.005873382,0.0
icsd-107402,-0.005873382,0.0
icsd-40316,2.247774,2.347
icsd-409867,-0.005873382,0.0
icsd-622804,-0.005873382,0.0
